,fc_nuclear,fc_wind,fc_solar_th,hour,thermal_gap,net_exc_power,price
0,7117.2,2751.0,627.1,0,14248.7,-550,48.19
1,7117.2,2452.0,606.6,1,13250.2,-200,45.81
2,7117.2,2060.0,528.3,2,12891.5,-200,44.5
3,7117.2,1736.0,598.5,3,12833.3,-200,43.96
4,7117.2,1322.0,474.9,4,13277.900000000001,-200,44.57
5,7117.2,1131.0,238.5,5,14026.3,-200,46.07
6,7117.2,1168.0,104.2,6,16085.6,-200,50.9
7,7117.2,1170.0,27.7,7,18470.3,-550,56.07
8,7117.2,1073.0,22.2,8,19715.8,-550,58.84
9,7117.2,917.0,102.6,9,19800.5,-550,58.75
10,7117.2,817.0,500.8,10,19250.6,-550,57.17
11,7117.2,820.0,869.9,11,18478.6,-550,55.11
12,7117.2,808.0,821.9,12,19038.0,-550,56.28
13,6771.9,836.0,886.9,13,19314.0,-550,56.21
14,6771.9,1008.0,943.5,14,17949.6,-550,52.84
15,6421.9,1561.0,852.8,15,16667.800000000003,-550,49.35
16,6421.9,2132.0,887.7,16,16032.4,-550,48.02
17,6071.9,2685.0,1452.8,17,15687.5,-550,46.79
18,6071.9,3618.0,1354.5,18,15267.2,-550,46.22
19,6071.9,4677.0,945.8,19,16091.1,-550,48.76
20,6071.9,5704.0,668.3,20,17152.3,-550,51.85
21,6071.9,6028.0,417.8,21,18532.3,-550,55.23
22,6071.9,6641.0,259.3,22,15866.8,-550,49.01
23,6071.9,7209.0,158.3,23,12985.8,-550,42.24
24,6071.9,7351.0,121.7,0,11300.400000000001,-550,42.44
25,6071.9,7381.0,26.8,1,10088.3,-200,39.77
26,6071.9,7302.0,15.3,2,9378.8,-200,37.82
27,6071.9,6945.0,20.6,3,9300.5,-200,37.21
28,6071.9,6562.0,27.6,4,9704.5,-200,37.74
29,6071.9,6438.0,30.1,5,10222.0,-200,38.73
30,6071.9,6117.0,27.5,6,12507.6,-200,43.86
31,6071.9,5865.0,26.7,7,14987.7,-550,49.09
32,6071.9,5287.0,32.2,8,15990.1,-550,50.94
33,5915.1,4416.0,300.2,9,15636.199999999999,-550,49.04
34,5915.1,4115.0,1400.2,10,14106.3,-550,44.94
35,5915.1,3711.0,1894.0,11,13578.400000000001,-550,43.2
36,5915.1,3004.0,2012.7,12,14480.099999999999,-550,44.72
37,5915.1,2459.0,2130.6,13,15160.099999999999,-550,45.81
38,5915.1,2272.0,2106.3,14,14815.599999999999,-550,44.67
39,5915.1,2601.0,2062.1,15,13871.3,-550,42.43
40,5915.1,3081.0,2027.6,16,13660.400000000001,-550,42.06
41,5915.1,3672.0,2032.7,17,13472.5,-550,41.83
42,5915.1,4239.0,1961.8,18,13812.2,-550,42.85
43,5915.1,4814.0,1702.6,19,15425.699999999999,-550,46.97
44,5915.1,4930.0,1089.3,20,17958.4,-550,53.0
45,5915.1,5105.0,656.4,21,19521.5,-550,56.73
46,5915.1,5173.0,570.4,22,17318.5,-550,51.26
47,5915.1,4922.0,537.1,23,15417.8,-550,46.31
48,6071.9,4697.0,513.7,0,14018.400000000001,-550,47.21
49,6071.9,4248.0,461.5,1,13206.6,-200,45.19
50,7117.2,3826.0,447.4,2,11734.400000000001,-200,42.9
51,7117.2,3479.0,457.8,3,11731.0,-200,42.47
52,7117.2,3061.0,329.0,4,12485.8,-200,43.84
53,7117.2,2590.0,270.3,5,13355.5,-200,45.44
54,7117.2,2279.0,166.6,6,15385.2,-200,49.96
55,7117.2,2154.0,82.8,7,17707.4,-550,54.89
56,7117.2,2076.0,80.4,8,18213.2,-550,55.88
57,7117.2,2056.0,385.6,9,16963.9,-550,52.66
58,6256.9,2016.0,1565.7,10,16059.3,-550,48.81
59,6256.9,2150.0,2015.4,11,15195.300000000003,-550,46.62
60,6286.9,2074.0,2143.7,12,15447.5,-550,47.05
61,6411.9,2146.0,2136.6,13,15586.300000000003,-550,47.46
62,6411.9,2246.0,2133.3,14,14705.0,-550,45.21
63,7117.2,2422.0,2112.7,15,13153.8,-550,42.57
64,7117.2,2612.0,2101.0,16,13374.0,-550,43.05
65,7117.2,2943.0,2058.1,17,13691.800000000003,-550,43.86
66,7117.2,3139.0,2052.0,18,14027.400000000001,-550,44.63
67,7117.2,3433.0,1778.7,19,15854.9,-550,49.07
68,7117.2,3722.0,1080.3,20,18630.300000000003,-550,55.81
69,7117.2,3913.0,647.8,21,20240.0,-550,59.66
70,7117.2,4003.0,579.0,22,17822.8,-550,53.69
71,7117.2,3894.0,529.9,23,15405.900000000001,-550,47.59
72,7117.2,3972.0,593.1,0,14237.7,-550,48.99
73,7117.2,4067.0,562.7,1,12680.1,-200,45.53
74,7117.2,4072.0,536.6,2,11679.2,-200,42.93
75,7117.2,3895.0,483.0,3,11492.8,-200,42.18
76,7117.2,3623.0,299.4,4,11697.400000000001,-200,42.31
77,7117.2,3325.0,134.5,5,12525.3,-200,43.93
78,7117.2,3248.0,74.2,6,14492.6,-200,48.46
79,7117.2,3396.0,63.6,7,16466.7,-550,52.73
80,7117.2,3510.0,61.7,8,16845.0,-550,53.54
81,7117.2,3214.0,319.5,9,16031.0,-550,51.19
82,7117.2,3228.0,1612.7,10,14235.099999999999,-550,46.65
83,7117.2,3406.0,2085.9,11,13596.5,-550,45.04
84,6961.9,3599.0,2142.1,12,14148.0,-550,46.06
85,6961.9,3596.0,2104.9,13,14184.400000000001,-550,45.97
86,6961.9,3499.0,2098.9,14,13472.0,-550,44.0
87,6961.9,3511.0,2052.3,15,12702.100000000002,-550,41.96
88,6961.9,3574.0,2092.0,16,12492.5,-550,41.31
89,6961.9,3773.0,2124.7,17,12958.400000000001,-550,42.39
90,6961.9,4038.0,2073.4,18,13734.400000000001,-550,44.27
91,6961.9,4310.0,1780.4,19,15651.6,-550,48.92
92,6816.1,4736.0,1068.4,20,17955.6,-550,54.37
